epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0748,2.67166,4.85024,1.51953,0,0,0,0,2.49191,4.43409,1.21941,7.777e-05,7.777e-05,7.777e-05
2,54.9486,2.51814,4.15184,1.22149,0.00026,0.05,0.00428,0.00265,2.61977,4.26088,1.2032,0.000165,0.000165,0.000165
3,79.8802,2.5322,3.13251,1.15289,0.00061,0.0543,0.01499,0.01205,2.73065,4.10844,1.23118,0.000250471,0.000250471,0.000250471
4,104.885,2.44254,2.76797,1.20571,0.00275,0.15027,0.05103,0.02522,2.44449,3.80819,1.20777,0.000334181,0.000334181,0.000334181
5,131.764,2.32966,2.55363,1.19229,0.00404,0.24274,0.06272,0.03143,2.26076,3.66052,1.19425,0.000416132,0.000416132,0.000416132
6,158.39,2.25473,2.38431,1.20278,0.00567,0.12952,0.05556,0.02402,2.309,3.57486,1.29898,0.000496323,0.000496323,0.000496323
